test;jaar;ring;vjaar;vring;mjaar;mring;geslacht
;2019;6240694;2013;6060405;2014;6070613;M
;2019;6240661;2015;6048785;2015;6285324;M
;2019;6240662;2015;6048785;2015;6285324;V
;2019;6240666;2012;6025886;2017;6050875;V
;2019;6240667;2015;6047589;2017;6050677;V
;2019;6240668;2015;6285681;2014;6070601;M
;2018;6061188;2016;6150521;2016;6267990;-
;2018;6061190;2008;6178130;2013;6306232;-
;2018;6061191;2017;1162140;2017;6053635;-
;2018;6116694;2008;6178130;2013;6306232;-
;2018;6125691;2014;6070632;2017;6050875;-
;2018;6137060;2014;6070615;2015;6285666;V
;2017;6174354;2014;6022698;2013;6096533;V
;2017;6207212;2015;6034016;2015;6285683;-
;2019;6035447;2017;6050725;2017;6050887;V
;2019;6035448;2016;6021902;2014;6070968;-
;2019;6035475;2014;6070615;2011;6115344;M
;2019;6035686;2010;6357820;2010;6031073;M
;2019;6035691;2017;6050725;2015;6285666;M
;2019;6035693;2017;6050736;2014;6070601;M
;2019;6035655;2014;6070615;2014;6070967;V
;2019;6035665;2015;6047589;2011;6115319;V
;2019;6035685;2009;6110460;2014;6070601;-
;2019;6240678;2013;6060405;2014;6070601;V
;2019;6240679;2016;6021406;2017;6050886;-
;2019;6240683;2017;6050618;2017;6050875;M
;2019;6240697;2015;6048785;2012;6023685;V
;2019;6240704;2016;6021406;2014;6070473;M
;2019;6240705;2016;6021406;2014;6070473;V
;2015;6047583;2012;6025886;2012;6233362;M
;2015;6047584;2010;6357819;2011;6115319;M
;2015;6047585;2014;6070632;2011;6115344;V
;2017;6050677;2015;6285681;2011;6115319;V
;2017;6050687;2015;6047583;2015;6285666;-
;2017;6050690;2015;6046485;2015;6285669;M
;2015;6046608;2007;6031603;2014;6070952;-
;2015;6046622;2008;6178041;2010;6031073;-
;2015;6046623;2008;6178041;2010;6031073;-
;2015;6046631;2010;6357820;2014;6070601;-
;2019;6204679;2016;6021406;2017;6050886;V
;2019;6240601;2010;6357819;2015;6285666;-
;2019;6240602;2010;6357819;2015;6285666;-
;2017;6053507;2013;6060405;2014;6070473;M
;2017;6053508;2008;6178130;2014;6070491;V
;2020;6183535;2015;6159142;2014;6070967;V
;2020;6183539;2017;6050725;2014;6070492;-
;2020;6183544;2019;6035392;2014;6070968;M
;2020;6183620;2014;6070632;2014;6070492;V
;2020;6183650;2017;6050618;2014;6070952;V
;2020;6183441;2015;6159142;2014;6070620;-
;2020;6183442;2015;6047589;2018;6137068;M
;2020;6183453;2014;6070552;2014;6070601;-
;2020;6183455;2010;6357820;2014;6070613;-
;2020;6183470;2014;6070632;2018;6137081;M
;2007;6033018;1998;6335690;2004;6307210;V
;2007;6033129;1998;6335690;2004;6307210;M
;2007;6044245;;;;;V
;2007;6189411;2006;6145813;2005;6255657;V
;2007;6191808;2001;6203463;2005;6147649;V
;2006;6154676;2002;4479161;2002;6121573;M
;2006;6210255;;;;;V
;2006;6278522;2002;6183124;2003;6108015;V
;2004;6359992;;;;;V
;2004;6360845;;;;;M
;2004;447052;;;;;V
;2018;6061090;2017;6034724;2014;6070492;M
;2018;6061091;2017;6034724;2014;6070492;M
;2018;6061093;2006;6033896;2014;6070620;M
;2010;6031946;1998;6335690;2004;6307341;V
;2010;6075741;2009;6031423;2008;6201753;V
;2010;6075762;2005;6147603;2008;6201752;M
;2019;6035388;2014;3156000;2014;6072324;V
;2019;6035391;2010;6357820;2017;6174354;V
;2019;6035392;2010;6357820;2017;6174354;M
;2019;6035142;2017;6050725;2014;6070601;M
;2019;6035152;2016;6021406;2014;6070473;V
;2019;6035160;2015;6048785;2014;6070492;M
;2020;6183419;2015;6047583;2014;6070967;-
;2020;6183427;2015;6047583;2014;6070967;-
;2020;6183437;2017;6050736;2014;6070967;-
;2020;6183801;2017;6050736;2019;6035388;-
;2020;6183802;2010;6357819;2012;6233363;-
;2020;6183803;2010;6357819;2012;6233363;-
;2020;6183804;2015;6046462;2015;6046474;-
;2020;6183805;2015;6046462;2015;6046474;-
;2020;6183806;2017;6050618;2014;6070952;-
;2020;6183807;2017;6050618;2014;6070952;-
;2020;6183808;2014;6070615;2014;6070620;-
;2020;6183809;2014;6070615;2014;6070620;-
;2020;6183810;2014;6070552;2014;6070601;-
;2020;6183811;2014;6070552;2014;6070601;-
;2020;6183812;2016;6021406;2014;6070491;-
;2020;6183813;2019;6035013;2014;6070613;-
;2020;6183814;2019;6035392;2017;6050875;-
;2020;6183815;2019;6035392;2017;6050875;-
;2020;6183816;2018;6137083;2011;6115344;-
;2020;6183817;2018;6137083;2011;6115344;-
;2020;6183818;2017;6053507;2015;6285666;-
;2020;6183819;2017;6053507;2015;6285666;-
;2020;6183820;2017;6053632;2019;6240705;-
;2020;6183821;2017;6053632;2019;6240705;-
;2020;6183822;2015;6047583;2014;6070967;-
;2020;6183823;2015;6047583;2014;6070967;-
;2020;6183824;2015;6285681;2014;6070968;-
;2020;6183825;2015;6285681;2014;6070968;-
;2020;6183826;2015;6159142;2017;6050677;-
;2020;6183827;2015;6159142;2017;6050677;-
;2020;6183828;2018;6061090;2019;6035387;-
;2020;6183829;2018;6061090;2019;6035387;-
;2020;6183830;2010;6357819;2012;6233363;-
;2020;6183831;2010;6357819;2012;6233363;-
;2020;6183832;2019;6240704;2015;6285324;-
;2020;6183833;2019;6240704;2015;6285324;-
;2020;6183834;2017;6050737;2015;6279114;-
;2020;6183835;2017;6050737;2015;6279114;-
;2020;6183836;2019;6035032;2019;6035152;-
;2020;6183837;2019;6035032;2019;6035152;-
;2020;6183838;2013;6060405;2014;6070473;-
;2020;6183839;2013;6060405;2014;6070473;-
;2020;6183840;2015;6047589;2018;6137068;-
;2020;6183841;2015;6047589;2018;6137068;-
;2020;6183842;2016;6021902;2012;6233362;-
;2020;6183843;2016;6021902;2012;6233362;-
;2020;6183844;2015;6048785;2011;6115319;-
;2020;6183845;2015;6048785;2011;6115319;-
;2020;6183846;2016;6021773;2015;6046492;-
;2020;6183847;2016;6021773;2015;6046492;-
;2020;6183848;2010;6357820;2017;6174354;-
;2020;6183849;2010;6357820;2017;6174354;-
;2020;6183850;2014;6070632;2019;6035391;-
;2020;6183851;2017;6050737;2015;6279114;-
;2020;6183852;2017;6050737;2015;6279114;-
;2020;6183853;2015;6046462;2015;6046474;-
;2020;6183854;2017;6050725;2014;6070492;-
;2020;6183855;2017;6050725;2014;6070492;-
;2020;6183856;2017;6053632;2019;6240705;-
;2020;6183857;2017;6053632;2019;6240705;-
;2020;6183858;2015;6034016;2012;6023685;-
;2020;6183859;2015;6034016;2012;6023685;-
;2020;6183860;2014;6070552;2014;6070601;-
;2020;6183861;2014;6070552;2014;6070601;-
;2020;6183862;2015;6047589;2018;6137068;-
;2020;6183863;2015;6047589;2018;6137068;-
;2020;6183864;2019;6035013;2014;6070613;-
;2020;6183865;2019;6035013;2014;6070613;-
;2020;6183866;2015;6285681;2014;6070968;-
;2020;6183867;2015;6285681;2014;6070968;-
;2020;6183868;2019;6240704;2015;6285324;-
;2020;6183869;2013;6060405;2014;6070473;-
;2020;6183870;2013;6060405;2014;6070473;-
;2020;6183871;2017;6050618;2014;6070952;-
;2020;6183872;2017;6050618;2014;6070952;-
;2020;6183873;2019;6035392;2017;6050875;-
;2020;6183874;2019;6035392;2017;6050875;-
;2020;6183875;2019;6035032;2019;6035152;-
;2020;6183876;2019;6035032;2019;6035152;-
;2020;6183877;2015;6159142;2017;6050677;-
;2020;6183878;2015;6159142;2017;6050677;-
;2020;6183879;2016;6021773;2015;6046492;-
;2020;6183880;2016;6021773;2015;6046492;-
;2020;6183881;2015;6047583;2014;6070967;-
;2020;6183882;2015;6047583;2014;6070967;-
;2020;6183883;2014;6070615;2014;6070620;-
;2020;6183884;2014;6070615;2014;6070620;-
;2020;6183885;2016;6021406;2014;6070491;-
;2020;6183886;2010;6357820;2017;6174354;-
;2020;6183887;2010;6357820;2017;6174354;-
;2020;6183888;2016;6021902;2012;6233362;-
;2020;6183889;2014;6070632;2019;6035391;-
;2020;6183890;2018;6137083;2011;6115344;-
;2020;6183891;2018;6137083;2011;6115344;-
;2020;6183892;2018;6061090;2019;6035387;-
;2020;6183893;2018;6061090;2019;6035387;-
;2020;6183894;2017;6050736;2019;6035388;-
;2020;6183895;2017;6050736;2019;6035388;-
;2020;6183896;2017;6053507;2015;6285666;-
;2020;6183897;2017;6053507;2015;6285666;-
;2020;6183898;2015;6048785;2011;6115319;-
;2020;6183899;2015;6048785;2011;6115319;-
;2020;6183900;2010;6357819;2012;6233363;-
;2020;6183901;2017;6050725;2014;6070492;-
;2020;6183902;2017;6050725;2014;6070492;-
;2020;6183702;2014;6070615;2014;6070620;-
;2020;6183703;2013;6060405;2014;6070473;-
;2020;6183704;2013;6060405;2014;6070473;-
;2020;6183705;2015;6047583;2014;6070967;-
;2020;6183706;2017;6050618;2014;6070952;-
;2020;6183707;2017;6050618;2014;6070952;-
;2020;6183708;2010;6357819;2012;6233363;-
;2020;6183709;2010;6357819;2012;6233363;-
;2020;6183710;2018;6137083;2011;6115344;-
;2020;6183711;2018;6137083;2011;6115344;-
;2020;6183712;2015;6285681;2014;6070968;-
;2020;6183713;2015;6285681;2014;6070968;-
;2020;6183714;2019;6240704;2015;6285324;-
;2020;6183715;2019;6240705;2015;6285324;-
;2020;6183716;2018;6061090;2019;6035387;-
;2020;6183717;2018;6061090;2019;6035387;-
;2020;6183718;2019;6035032;2019;6035152;-
;2020;6183719;2019;6035032;2019;6035152;-
;2020;6183720;2015;6047589;2018;6137068;-
;2020;6183721;2015;6047589;2018;6137068;-
;2020;6183722;2015;6048785;2011;6115319;-
;2020;6183723;2015;6048785;2011;6115319;-
;2020;6183724;2014;6070632;2019;6035391;-
;2020;6183725;2017;6050737;2015;6279114;-
;2020;6183726;2017;6050737;2015;6279114;-
;2020;6183727;2010;6357820;2017;6174354;-
;2020;6183728;2010;6357820;2017;6174354;-
;2020;6183729;2017;6050736;2019;6035388;-
;2020;6183730;2017;6050736;2019;6035388;-
;2020;6183731;2015;6159142;2017;6050677;-
;2020;6183732;2015;6159142;2017;6050677;-
;2020;6183733;2016;6021406;2014;6070491;-
;2020;6183734;2016;6021406;2014;6070491;-
;2020;6183735;2019;6035392;2017;6050875;-
;2020;6183737;2019;6035013;2014;6070613;-
;2020;6183738;2019;6035013;2014;6070613;-
;2020;6183739;2014;6070552;2014;6070601;-
;2020;6183740;2016;6021902;2012;6233362;-
;2020;6183741;2016;6021902;2012;6233362;-
;2020;6183742;2015;6046462;2015;6046474;-
;2020;6183743;2015;6046462;2015;6046474;-
;2020;6183744;2016;6021773;2015;6046492;-
;2020;6183745;2016;6021773;2015;6046492;-
;2020;6183746;2017;6053507;2015;6285666;-
;2020;6183747;2017;6050725;2014;6070492;-
;2020;6183748;2017;6050725;2014;6070492;-
;2020;6183749;2017;6053632;2019;6240705;-
;2020;6183750;2017;6053632;2019;6240705;-
;2020;6183499;2014;6070632;2015;6046492;V
;2020;6183501;2013;6060405;2014;6070473;M
;2020;6183512;2017;6053837;2015;6285324;M
;2020;6183513;2017;6053837;2015;6285324;V
;2020;6183651;2015;6047589;2018;6137068;V
;2020;6183659;2016;6021406;2014;6070491;-
;2020;6183667;2015;6034016;2012;6023685;M
;2020;6183751;2018;6061090;2019;6035387;-
;2020;6183752;2018;6061090;2019;6035387;-
;2020;6183753;2015;6048785;2011;6115319;-
;2020;6183754;2015;6048785;2011;6115319;-
;2020;6183755;2018;6137083;2011;6115344;-
;2020;6183756;2016;6021406;2014;6070491;-
;2020;6183757;2015;6046462;2015;6046474;-
;2020;6183758;2015;6046462;2015;6046474;-
;2020;6183759;2015;6034016;2012;6023685;-
;2020;6183760;2015;6034016;2012;6023685;-
;2020;6183761;2017;6050737;2015;6279114;-
;2020;6183762;2017;6050737;2015;6279114;-
;2020;6183763;2017;6053507;2015;6285666;-
;2020;6183764;2017;6053507;2015;6285666;-
;2020;6183765;2019;6035013;2014;6070613;-
;2020;6183766;2019;6035013;2014;6070613;-
;2020;6183767;2016;6021406;2014;6070491;-
;2020;6183768;2016;6021406;2014;6070491;-
;2020;6183769;2019;6035032;2019;6035152;-
;2020;6183770;2019;6035032;2019;6035152;-
;2020;6183771;2014;6070632;2019;6035391;-
;2020;6183772;2014;6070632;2019;6035391;-
;2020;6183773;2015;6047589;2018;6137068;-
;2020;6183774;2015;6047589;2018;6137068;-
;2020;6183775;2013;6060405;2014;6070473;-
;2020;6183776;2017;6050725;2014;6070492;-
;2020;6183777;2017;6050725;2014;6070492;-
;2020;6183778;2017;6050618;2014;6070952;-
;2020;6183779;2017;6050618;2014;6070952;-
;2020;6183780;2017;6050736;2019;6035388;-
;2020;6183781;2017;6050736;2019;6035388;-
;2020;6183782;2016;6021902;2012;6233362;-
;2020;6183783;2016;6021902;2012;6233362;-
;2020;6183784;2010;6357820;2017;6174354;-
;2020;6183785;2010;6357820;2017;6174354;-
;2020;6183786;2017;6053632;2019;6240705;-
;2020;6183787;2017;6053632;2019;6240705;-
;2020;6183788;2014;6070615;2014;6070620;-
;2020;6183789;2014;6070615;2014;6070620;-
;2020;6183790;2015;6047583;2014;6070967;-
;2020;6183791;2015;6047583;2014;6070967;-
;2020;6183792;2014;6070552;2014;6070601;-
;2020;6183793;2014;6070552;2014;6070601;-
;2020;6183794;2010;6357819;2012;6233363;-
;2020;6183795;2010;6357819;2012;6233363;-
;2020;6183796;2015;6159142;2017;6050677;-
;2020;6183797;2015;6159142;2017;6050677;-
;2020;6183798;2019;6240704;2015;6285324;-
;2020;6183799;2019;6035392;2017;6050875;-
;2020;6183800;2019;6035392;2017;6050875;-
;2019;6035024;2015;6034016;2014;6070620;M
;2019;6035031;2017;6053632;2016;6021542;V
;2019;6035032;2007;6031645;2014;6070491;M
;2019;6035058;2018;6061091;2017;6050875;M
;2019;6035060;2015;6046462;2011;6115344;V
;2019;6240716;2016;6021406;2014;6070473;V
;2020;6035083;2015;6046485;2017;6053647;M
;2020;6035201;2017;6053507;2014;6070967;M
;2020;6081852;2017;6050737;2015;6279114;-
;2020;6183405;2016;6021773;2015;6046492;V
;2020;6183524;2017;6050725;2015;6285666;M
;2020;6183525;2016;6021773;2015;6046492;M
;2020;6183526;2016;6021773;2015;6046492;-
;2020;6183532;2017;6053507;2015;6279114;V
;2020;6183472;2007;6031645;2017;6050875;M
;2020;6183477;2010;6357820;2012;6233363;-
;2020;6183482;2015;6048785;2014;6070473;M
;2020;6183903;2019;6035032;2019;6035152;-
;2020;6183904;2019;6035032;2019;6035152;-
;2020;6183905;2016;6021773;2015;6046492;-
;2020;6183906;2016;6021773;2015;6046492;-
;2020;6183907;2017;6053632;2019;6240705;-
;2020;6183908;2017;6053632;2019;6240705;-
;2020;6183909;2018;6061090;2019;6035387;-
;2020;6183910;2018;6061090;2019;6035387;-
;2020;6183911;2015;6285681;2014;6070968;-
;2020;6183912;2015;6285681;2014;6070968;-
;2020;6183913;2015;6046462;2015;6046474;-
;2020;6183914;2015;6046462;2015;6046474;-
;2020;6183915;2019;6035013;2014;6070613;-
;2020;6183916;2019;6035013;2014;6070613;-
;2020;6183917;2015;6159142;2017;6050677;-
;2020;6183918;2015;6159142;2017;6050677;-
;2020;6183919;2017;6050736;2019;6035388;-
;2020;6183920;2017;6050736;2019;6035388;-
;2020;6183921;2017;6050618;2014;6070952;-
;2020;6183922;2017;6050618;2014;6070952;-
;2020;6183923;2017;6053507;2015;6285666;-
;2020;6183924;2017;6053507;2015;6285666;-
;2020;6183925;2018;6137083;2011;6115344;-
;2020;6183926;2016;6021902;2012;6233362;-
;2020;6183927;2016;6021902;2012;6233362;-
;2020;6183928;2015;6034016;2012;6023685;-
;2020;6183929;2015;6034016;2012;6023685;-
;2020;6183930;2015;6048785;2011;6115319;-
;2020;6183931;2015;6048785;2011;6115319;-
;2020;6183932;2014;6070615;2014;6070620;-
;2020;6183933;2019;6240704;2015;6285324;-
;2020;6183934;2019;6240704;2015;6285324;-
;2020;6183935;2015;6047589;2018;6137068;-
;2020;6183936;2016;6021406;2014;6070491;-
;2020;6183937;2016;6021406;2014;6070491;-
;2020;6183938;2014;6070632;2019;6035391;-
;2020;6183939;2010;6357819;2012;6233363;-
;2020;6183940;2010;6357819;2012;6233363;-
;2020;6183941;2014;6070552;2014;6070601;-
;2020;6183942;2014;6070552;2014;6070601;-
;2020;6183943;2013;6060405;2014;6070473;-
;2020;6183944;2013;6060405;2014;6070473;-
;2020;6183945;2010;6357820;2017;6174354;-
;2020;6183946;2010;6357820;2017;6174354;-
;2020;6183947;2015;6047583;2014;6070967;-
;2020;6183948;2015;6047583;2014;6070967;-
;2020;6183949;2019;6035392;2017;6050875;-
;2020;6183950;2019;6035392;2017;6050875;-
;2020;6183951;2014;6070615;2014;6070613;-
;2020;6245902;2010;6357820;2012;6233363;V
;2020;6245903;2017;6053632;2019;6240705;-
;2020;6245904;2017;6053632;2019;6240705;-
;2020;6245905;2018;6061090;2019;6035387;-
;2020;6245906;2018;6061090;2019;6035387;-
;2020;6245907;2015;6046462;2015;6046474;-
;2020;6245908;2017;6050618;2014;6070952;-
;2020;6245909;2017;6050618;2014;6070952;-
;2020;6245910;2015;6285681;2011;6115319;-
;2020;6245911;2015;6285681;2011;6115319;-
;2020;6245912;2014;6070615;2014;6070620;-
;2020;6245913;2014;6070615;2014;6070620;-
;2020;6245914;2014;6070632;2019;6035391;-
;2020;6245915;2014;6070632;2019;6035391;-
;2020;6245916;2017;6050725;2017;6050875;-
;2020;6245917;2010;6357819;2012;6233363;-
;2020;6245918;2010;6357819;2012;6233363;-
;2020;6245919;2015;6047583;2014;6070601;-
;2020;6245920;2015;6047583;2014;6070601;-
;2020;6249461;2010;6357820;2019;6035054;-
;2020;6249462;2010;6357820;2019;6035054;-
;2020;6249469;2015;6047589;2019;6035060;-
;2020;6249470;2015;6047589;2019;6035060;-
;2011;6115359;2008;6178055;2006;6033902;-
;2011;6115384;;;;;V
;2011;6115399;2006;6033602;2006;6033902;M
;2011;6261694;2003;6226043;2003;6226397;V
;2011;6323814;;;;;M
;2011;6332526;;;;;V
;2020;6183699;2014;6070632;2019;6035391;V
;2020;6183700;2015;6034016;2012;6023685;M
;2020;6183701;2014;6070615;2014;6070620;-
;2020;6183518;2014;6070615;2014;6070620;M
;2020;6183519;2017;6050736;2014;6070968;-
;2020;6183521;2017;6050737;2015;6279114;M
;2020;6249465;2009;6110460;2015;6046492;-
;2020;6249466;2009;6110460;2015;6046492;-
;2020;6183952;2014;6070615;2014;6070613;-
;2020;6183953;2019;6035013;2014;6070620;-
;2020;6183954;2019;6035013;2014;6070620;-
;2020;6183955;2015;6285681;2014;6070968;-
;2020;6183956;2015;6285681;2014;6070968;-
;2020;6183957;2015;6047589;2018;6137068;-
;2020;6183958;2015;6047589;2018;6137068;-
;2020;6183959;2017;6053507;2015;6285666;-
;2020;6183960;2017;6053507;2015;6285666;-
;2020;6183961;2017;6050736;2017;6050677;-
;2020;6183962;2017;6050736;2017;6050677;-
;2020;6183963;2014;6070632;2019;6035391;-
;2020;6183964;2014;6070632;2019;6035391;-
;2020;6183965;2010;6357820;2017;6174354;-
;2020;6183966;2010;6357820;2017;6174354;-
;2020;6183967;2013;6060405;2014;6070473;-
;2020;6183968;2013;6060405;2014;6070473;-
;2020;6183969;2017;6050618;2014;6070952;-
;2020;6183970;2017;6050618;2014;6070952;-
;2020;6183971;2019;6035032;2019;6035152;-
;2020;6183972;2019;6035032;2019;6035152;-
;2020;6183973;2010;6357819;2012;6233363;-
;2020;6183974;2017;6050725;2014;6070492;-
;2020;6183975;2017;6050725;2014;6070492;-
;2020;6183976;2016;6021406;2014;6070491;-
;2020;6183977;2016;6021406;2014;6070491;-
;2020;6183978;2019;6240704;2015;6285324;-
;2020;6183979;2015;6047583;2014;6070967;-
;2020;6183980;2015;6047583;2014;6070967;-
;2020;6183981;2015;6048785;2011;6115319;-
;2020;6183982;2015;6048785;2011;6115319;-
;2020;6183983;2015;6285681;2014;6070968;-
;2020;6183984;2015;6285681;2014;6070968;-
;2020;6183985;2017;6053632;2019;6240705;-
;2020;6183986;2017;6053632;2019;6240705;-
;2020;6183988;2014;6070552;2014;6070601;-
;2020;6183989;2015;6047589;2018;6137068;-
;2020;6183990;2015;6047589;2018;6137068;-
;2020;6183991;2019;6240704;2015;6285324;-
;2020;6183992;2019;6240704;2015;6285324;-
;2020;6183993;2019;6035392;2017;6050875;-
;2020;6183994;2015;6046462;2015;6046474;-
;2020;6183995;2015;6046462;2015;6046474;-
;2020;6183996;2017;6050725;2014;6070492;-
;2020;6183997;2017;6050725;2014;6070492;-
;2020;6183998;2019;6035032;2019;6035152;-
;2020;6183999;2019;6035032;2019;6035152;-
;2020;6184000;2017;6053507;2015;6285666;-
;2020;6223259;2017;6053501;2013;6306231;-
;2020;6223260;2017;6053501;2013;6306231;-
